name,totalScore,reviewsCount,street,regions serviced,city,state,countryCode,website,phone,categoryName,url,is_mobile_phlebotomy,is_nationwide,verified_service_areas,validation_notes
PFM Mobile Phlebotomy and Wellness LLC,5,26,,,New England,Connecticut,US,http://pfmphlebotomy.com/,(401) 241-9605,Medical group,https://www.google.com/maps/search/?api=1&query=PFM%20Mobile%20Phlebotomy%20and%20Wellness%20LLC&query_place_id=ChIJo-9odR275YkRrddJBW_aJIo,Yes,No,"New England, Connecticut",Mobile phlebotomy and wellness service - company name clearly indicates mobile phlebotomy specialization.
Phlebstick Mobile LLC,5,96,,,,Connecticut,US,https://www.phlebstickmobile.com/,(860) 964-6533,Blood testing service,https://www.google.com/maps/search/?api=1&query=Phlebstick%20Mobile%20LLC&query_place_id=ChIJhynWIC2z54kRQRfjeL9HCl0,Yes,No,Connecticut,Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
VeinEx Mobile Phlebotomy LLC,5,25,,,,Connecticut,US,http://www.veinexct.com/,(203) 489-5418,Blood testing service,https://www.google.com/maps/search/?api=1&query=VeinEx%20Mobile%20Phlebotomy%20LLC&query_place_id=ChIJt6D3UtCXDacRquQIM4gLGBQ,Yes,No,Connecticut,Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Sufficient Mobile Labs LLC,5,37,,,,Pennsylvania,US,http://sufficientmobilelabs.com/,(475) 281-9394,Blood testing service,https://www.google.com/maps/search/?api=1&query=Sufficient%20Mobile%20Labs%20LLC&query_place_id=ChIJuSYYfyUWJKgRLdUAlraSwkM,Yes,No,Pennsylvania,Mobile laboratory service - company name clearly indicates mobile lab specialization.
603 Mobile Phlebotomy Services,5,2,,,,New Hampshire,US,https://www.603mobilephlebotomyservices.com/,(603) 496-2088,Blood testing service,https://www.google.com/maps/search/?api=1&query=603%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJTUHVdqyBdwQRo5abEF51Tys,Yes,No,New Hampshire,Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Gentle Touch Mobile Phlebotomy,5,17,,,,Oregon,US,http://www.gentletouchmobilephlebotomy.com/,(360) 690-6364,Laboratory,https://www.google.com/maps/search/?api=1&query=Gentle%20Touch%20Mobile%20Phlebotomy&query_place_id=ChIJ7fOTSdellVQRrax2Uyyh2Yc,Yes,No,Oregon,Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Bella Mobile Phlebotomy Services,5,29,,,Seattle,Washington,US,https://bellamobilephlebotomyservices.com/,(206) 356-5392,Laboratory,https://www.google.com/maps/search/?api=1&query=Bella%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJne6lBOMbkFQRD6gPf-_MBnI,Yes,No,"Seattle, Washington",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Busy B Mobile Phlebotomy,4.6,10,,,"Pompano Beach, Boca Raton, Fort Lauderdale",Florida,US,,(954) 480-3585,Laboratory,https://www.google.com/maps/search/?api=1&query=Busy%20B%20Mobile%20Phlebotomy&query_place_id=ChIJ_TAvWc8F2YgRyDJ-2h1J1iM,Yes,No,"Pompano Beach, Boca Raton, Fort Lauderdale, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Labcare Express Mobile Phlebotomy Services,5,35,,,Jacksonville,Florida,US,http://www.labcarexpress.com/,(904) 999-4771,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcare%20Express%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJx8x50osmwE0RHFqIUUwLCZc,Yes,No,"Jacksonville, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
At Home Mobile Phlebotomy,5,17,,,Sacramento ,California,US,https://www.athomemedlabs.com/,(530) 908-1096,Laboratory,https://www.google.com/maps/search/?api=1&query=At%20Home%20Mobile%20Phlebotomy&query_place_id=ChIJpZQs75QcI04Rm87hvbFU3mI,Yes,No,"Sacramento, California",Mobile phlebotomy service - company name clearly indicates at-home/mobile phlebotomy specialization.
PHLEBS MOBILE PHLEBOTOMY SERVICES LLC,5,13,23131 Michigan Ave #1204,,Dearborn,Michigan,US,https://www.phlebsmobilephlebotomyservicesllc.com/,(248) 832-2859,Laboratory,https://www.google.com/maps/search/?api=1&query=PHLEBS%20MOBILE%20PHLEBOTOMY%20SERVICES%20LLC&query_place_id=ChIJo8_MXtHXH6gRWJ0Xz16eVBs,Yes,No,"Dearborn, Michigan",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Mobile Phlebotomy Express,3.7,3,,,,,US,https://mobilephlebotomyexpress.com/,(813) 526-5439,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Express&query_place_id=ChIJpwgzbeR3OmwRewgOVi1DYv0,Yes,No,United States (specific area unclear),Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
GetBlood Mobile Phlebotomy,5,86,,,Tampa,Florida,US,,(323) 948-2555,Home health care service,https://www.google.com/maps/search/?api=1&query=GetBlood%20Mobile%20Phlebotomy&query_place_id=ChIJCyGYBdu3woARAbPPWDvVlNs,Yes,No,"Riverside County, California",Mobile phlebotomy service in Riverside County. Company name includes 'Mobile Phlebotomy'.
The Phleb Mobile Phlebotomy Services,5,5,,,Santa Barbara,California,US,http://www.thephlebservices.com/,,Blood testing service,https://www.google.com/maps/search/?api=1&query=The%20Phleb%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJ0U6CVDalJC8R7M8dtelrveQ,Yes,No,"Santa Barbara, California",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Sunshine Mobile Phlebotomy Services,5,79,3500 Posner Blvd,,Davenport,Florida,US,https://sunshinemobilephlebotomy.com/,(689) 407-6243,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Sunshine%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJFWu0D7p73YgRfb7kk647fkA,Yes,No,"Davenport, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Express Mobile Phlebotomy,5,64,,,Fort Myers,Florida,US,http://www.expressmobilephlebotomy.com/,(239) 322-6544,Blood testing service,https://www.google.com/maps/search/?api=1&query=Express%20Mobile%20Phlebotomy&query_place_id=ChIJZwQb1UAH24gRd9IUGsI3f4I,Yes,No,"Fort Myers, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
"ALLSTIX MOBILE PHLEBOTOMY SERVICES, LLC.",4.9,43,,,Atlanta,Georgia,US,https://allstixmobile.com/,(833) 500-1965,Blood testing service,https://www.google.com/maps/search/?api=1&query=ALLSTIX%20MOBILE%20PHLEBOTOMY%20SERVICES%2C%20LLC.&query_place_id=ChIJ3VCDw9U8g6QRCLgZiEJhMEw,Yes,No,"Atlanta, Georgia",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Oasis Mobile Phlebotomy LLC.,5,11,,"Broward County, Miami-Dade County",,Florida,US,https://www.oasisphlebotomy.com/,(877) 735-3531,Blood testing service,https://www.google.com/maps/search/?api=1&query=Oasis%20Mobile%20Phlebotomy%20LLC.&query_place_id=ChIJKRL5Bz4A12QROUuuCl0j1ys,Yes,No,"Broward County, Miami-Dade County, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
One Stop Exam Mobile Phlebotomy Service,4.9,74,,,,Virginia,US,http://www.onestopexam.com/,(301) 818-1206,Medical laboratory,https://www.google.com/maps/search/?api=1&query=One%20Stop%20Exam%20Mobile%20Phlebotomy%20Service&query_place_id=ChIJCwyCneWArg0Rshii-RgBhTg,Yes,No,Virginia,Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
PhlebCARE Mobile Phlebotomy,5,24,,,San Diego,California,US,https://www.mobilephlebcare.com/,(888) 959-9382,Blood testing service,https://www.google.com/maps/search/?api=1&query=PhlebCARE%20Mobile%20Phlebotomy&query_place_id=ChIJgSPr8kDsNC0Rlush056l4VQ,Yes,No,"San Diego, California",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
LabCall Mobile Phlebotomy Services,5,6,,Tri-Cities,,Washington,US,https://mylabcall.com/,(509) 567-5873,Medical clinic,https://www.google.com/maps/search/?api=1&query=LabCall%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJY2JC5HUEkgsRcNKy3yxBJH0,Yes,No,"Tri-Cities, Washington",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Reset Mobile Phlebotomy Services,5,11,,,Baltimore,Maryland,US,https://resetmobilephlebotomyservice.com/,(443) 272-1423,Laboratory,https://www.google.com/maps/search/?api=1&query=Reset%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJydaq0L6B-yIRZqsXkC1km_I,Yes,No,"Baltimore, Maryland",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Mariposa mobile phlebotomy,5,2,,Bay Area,,California,US,https://www.mariposaphlebotomy.com/,(707) 280-3651,Laboratory,https://www.google.com/maps/search/?api=1&query=Mariposa%20mobile%20phlebotomy&query_place_id=ChIJwYvhFZsSakkR9d6A4Nk8-XI,Yes,No,"Bay Area, California",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Superior Phlebotomy Mobile Technician LLC,5,41,,,Philadelphia,Pennsylvania,US,http://www.superiorphlebotomymt.org/,(856) 447-2200,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Superior%20Phlebotomy%20Mobile%20Technician%20LLC&query_place_id=ChIJdyq4ycVB-AgRZZHp3U3ZXAo,Yes,No,"Philadelphia, Pennsylvania",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
"Gentle Touch Lab Services, Inc Mobile Phlebotomy",5,1,,,,Oregon,US,,(971) 241-9891,Establishment,https://www.google.com/maps/search/?api=1&query=Gentle%20Touch%20Lab%20Services%2C%20Inc%20Mobile%20Phlebotomy&query_place_id=ChIJATJH4O1NlVQRKGziwiWeJ7k,Yes,No,Oregon,Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Lab dash Mobile LLC Mobile Phlebotomy Services,5,2,,,Los Angeles,California,US,https://labdashmobile.com/,(661) 714-9505,Blood testing service,https://www.google.com/maps/search/?api=1&query=Lab%20dash%20Mobile%20LLC%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJB6YfR-vEXA0R6YEAp7N5zvY,Yes,No,"Los Angeles County, California",Mobile phlebotomy service in LA County. Company name includes 'Mobile' and 'Mobile Phlebotomy Services'.
"Mobile Phlebotomy Services of Florida, LLC",5,477,,"South Florida, Treasure Coast",,Florida,US,http://mobilephlebotomyservicesfl.com/,(754) 227-9238,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services%20of%20Florida%2C%20LLC&query_place_id=ChIJTU1Ur8UJ2YgR0rvjDqiw6iE,Yes,No,"South Florida, Treasure Coast, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Hands of Care Mobile Phlebotomy,5,26,,"Sacramento County, Yolo County, Placer County, El Dorado County",,California,US,http://www.handsofcaremobile.com/,(916) 730-9633,Laboratory,https://www.google.com/maps/search/?api=1&query=Hands%20of%20Care%20Mobile%20Phlebotomy&query_place_id=ChIJuXoTOk53FqoRtEnYSNqAarE,Yes,No,"Sacramento County, Yolo County, Placer County, El Dorado County, California",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Wonder Stick Mobile Phlebotomy,5,5,,,Philadelphia,Pennsylvania,US,https://www.wonderstick.health/,(888) 978-4256,Blood testing service,https://www.google.com/maps/search/?api=1&query=Wonder%20Stick%20Mobile%20Phlebotomy&query_place_id=ChIJzaReE5ozWCIR8lGlyX9YCrE,Yes,No,"Philadelphia, Pennsylvania",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
"Advanced Mobile Phlebotomy Service, LLC",5,12,,,"Charlotte, Statesville, Mooresville, Hntersville, Winston Salem, LakeNorman, Hickory",North Carolina,US,http://www.advancedmobilephlebotomyservice.com/,(704) 437-1780,Laboratory,https://www.google.com/maps/search/?api=1&query=Advanced%20Mobile%20Phlebotomy%20Service%2C%20LLC&query_place_id=ChIJvQo-CrdiB4IR3dZTUBPzK8M,Yes,No,"Charlotte, Statesville, Mooresville, Huntersville, Winston Salem, Lake Norman, Hickory, North Carolina",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Lab Exodus Mobile Phlebotomy Hawaii,5,12,,,Kalaheo,Hawaii,US,https://www.labexodus.com/,(808) 634-4298,Laboratory,https://www.google.com/maps/search/?api=1&query=Lab%20Exodus%20Mobile%20Phlebotomy%20Hawaii&query_place_id=ChIJ18XEZOVxUEcRyhKMWC1sTeU,Yes,No,"Kalaheo, Hawaii",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Speedy Mobile Phlebotomy LLC,5,139,,"Broward County, Miami-Dade County, Palm Beach County",,Florida,US,http://www.smpofflorida.com/,(954) 675-1044,Laboratory,https://www.google.com/maps/search/?api=1&query=Speedy%20Mobile%20Phlebotomy%20LLC&query_place_id=ChIJ91el61mk2YgRn-YpwiGXBEw,Yes,No,"Broward County, Miami-Dade County, Palm Beach County, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Home Draw Mobile Phlebotomy,5,30,,,,Illinois,US,https://www.homedrawmobile.com/,(630) 277-9456,Laboratory,https://www.google.com/maps/search/?api=1&query=Home%20Draw%20Mobile%20Phlebotomy&query_place_id=ChIJIb896VXvDogRt-oQDQWlCII,Yes,No,Illinois,Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Mobile Phlebotomy of The South,5,1,,,Baton Rouge,Louisiana,US,,(225) 384-6657,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20of%20The%20South&query_place_id=ChIJC9UHgjujJoYRhSwimtnGEYo,Yes,No,"Baton Rouge, Louisiana",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Veinpro Mobile Phlebotomy Services,5,8,,"Orange County, Los Angeles County",,California,US,https://joycemcat.wixsite.com/veinpro-mobile-phleb,(714) 756-1642,Laboratory,https://www.google.com/maps/search/?api=1&query=Veinpro%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJmb_xieEhMQQRmD24zatjWqU,Yes,No,"Orange County, Los Angeles County, California",Mobile phlebotomy service covering Orange and LA Counties. Clear mobile service designation.
EDG Mobile Phlebotomy Services,5,19,,,San Diego,California,US,https://edgmobilephlebotomyservices.com/,(858) 722-9036,Blood testing service,https://www.google.com/maps/search/?api=1&query=EDG%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJVfzXth4vh6wRioQiS6X8gZM,Yes,No,"San Diego, California",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Aloha Mobile Phlebotomy LLC,5,4,,,,Hawaii,US,https://www.alohamobilephlebotomy.com/,(808) 829-8920,Home help service agency,https://www.google.com/maps/search/?api=1&query=Aloha%20Mobile%20Phlebotomy%20LLC&query_place_id=ChIJPzETO0YVAHwRBb-XiBcjUx4,Yes,No,Hawaii,Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
On My Way Mobile Phlebotomy Services,5,10,,,Abilene,Texas,US,https://omw-mobile-lab.square.site/,(325) 320-7917,Medical laboratory,https://www.google.com/maps/search/?api=1&query=On%20My%20Way%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJvWkRxUAewocR8wKPTd3L6jw,Yes,No,"Abilene, Texas",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Labs2You Mobile Phlebotomy,5,11,,,"Stockton, Modesto, Sacramento",California,US,https://www.labs2you.com/,(209) 594-7076,Home health care service,https://www.google.com/maps/search/?api=1&query=Labs2You%20Mobile%20Phlebotomy&query_place_id=ChIJSfLPCh-9NA0RKx6dqGxW7V8,Yes,No,"Stockton, Modesto, Sacramento, California",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
DS Blessed Hands Mobile Phlebotomy,,0,,,Detroit,Michigan,US,,(313) 208-8595,Laboratory,https://www.google.com/maps/search/?api=1&query=DS%20Blessed%20Hands%20Mobile%20Phlebotomy&query_place_id=ChIJbYVqDWECmKIRO7RulziV1Uk,Yes,No,"Detroit, Michigan",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
InstaLabs of Michigan,5,1,,,,Michigan,US,http://www.instalabsofmichigan.com/,(734) 355-7887,Home health care service,https://www.google.com/maps/search/?api=1&query=InstaLabs%20of%20Michigan&query_place_id=ChIJUQrB_hJKla0RhbepcMf_XK0,Yes,No,Michigan,Mobile laboratory service - provides at-home lab testing services.
"Small Gentle Hands, LLC",5,7,,,Buffalo,New York,US,https://www.smallgentlehandsllc.org/,(716) 259-6954,Home health care service,https://www.google.com/maps/search/?api=1&query=Small%20Gentle%20Hands%2C%20LLC&query_place_id=ChIJ2cfODAAT04kR-LdUzKhNwIY,Yes,No,"Buffalo, New York",Mobile phlebotomy service - home health care service specializing in gentle blood draws.
VEINFLOW Mobile Phlebotomy,5,15,,Monroe County ,,New York,US,http://www.veinflow.org/,(585) 770-7003,Blood testing service,https://www.google.com/maps/search/?api=1&query=VEINFLOW%20Mobile%20Phlebotomy&query_place_id=ChIJdeJ-Uoup-w4Rp3y_tpBvalY,Yes,No,"Monroe County, New York",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Mobile Labs Pro,5,6,,Northeast Ohio,,Ohio,US,https://www.mobilelabspro.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1073147446677621108,(440) 328-8125,Community health center,https://www.google.com/maps/search/?api=1&query=Mobile%20Labs%20Pro&query_place_id=ChIJ1Yfa-DIibqYRZBb3FaAysBg,Yes,No,Northeast Ohio,Mobile laboratory service - company name clearly indicates mobile lab specialization.
Lord of the Veins Mobile Phlebotomy and Diagnostics LLC,5,17,,,Fremont,California,US,http://www.lordoftheveins.life/,(510) 556-9413,Blood testing service,https://www.google.com/maps/search/?api=1&query=Lord%20of%20the%20Veins%20Mobile%20Phlebotomy%20and%20Diagnostics%20LLC&query_place_id=ChIJSUYZGYsr40ARSjLvkZp72ss,Yes,No,"Fremont, California",Mobile phlebotomy and diagnostics service - company name clearly indicates mobile phlebotomy specialization.
Bevel-up At home blood draw and delivery - Mobile Phlebotomy,5,7,,"East Bay, Northern California",,California,US,https://www.bevel-up.net/,(925) 465-2443,Blood testing service,https://www.google.com/maps/search/?api=1&query=Bevel-up%20At%20home%20blood%20draw%20and%20delivery%20-%20Mobile%20Phlebotomy&query_place_id=ChIJweIqVku2J04RSVkr-wP7MWk,Yes,No,"East Bay, Northern California",Mobile phlebotomy service - company name clearly indicates at-home blood draw and mobile phlebotomy specialization.
Peace of Mind Mobile phlebotomist.com,5,11,,Bay Area,,California,US,https://peaceofmindmobilephlebotomist.com/,(925) 481-9542,Blood bank,https://www.google.com/maps/search/?api=1&query=Peace%20of%20Mind%20Mobile%20phlebotomist.com&query_place_id=ChIJQYizc_xr8qoRuG6htYsTcUk,Yes,No,"Bay Area, California",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Zamadhi's Mobile Phlebotomy,5,2,,Utah County,,Utah,US,https://yakcisneros6.wixsite.com/zamadhisblooddraws,(385) 221-0945,Blood testing service,https://www.google.com/maps/search/?api=1&query=Zamadhi's%20Mobile%20Phlebotomy&query_place_id=ChIJj6bO96uXTYcRyHlZpq6bLwg,Yes,No,"Utah County, Utah",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Smoothsticks Mobile Phlebotomy,5,2,,,Kansas City,Missouri,US,,(816) 974-3408,Laboratory,https://www.google.com/maps/search/?api=1&query=Smoothsticks%20Mobile%20Phlebotomy&query_place_id=ChIJ9Rsf81obwYcRD6gV12EhkK4,Yes,No,"Kansas City, Missouri",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Expert Mobile Blood Draws,5,3,,,Fort Myers,Florida,US,,(239) 292-7626,Blood testing service,https://www.google.com/maps/search/?api=1&query=Expert%20Mobile%20Blood%20Draws&query_place_id=ChIJxbVCzhlREAARxse2_d2Ij-4,Yes,No,"Fort Myers, Florida",Mobile blood draw service - company name clearly indicates mobile blood draw specialization.
NR Mobile Labs,5,2756,,,"Fort Lauderdale, Miami, Boca Raton, Palm Beach, Jupiter, Weston",Florida,US,http://www.nrmobilelabs.com/,(954) 822-8501,Home health care service,https://www.google.com/maps/search/?api=1&query=NR%20Mobile%20Labs&query_place_id=ChIJWZ6v3foB2YgRU2_JADIL8fI,Yes,No,"Fort Lauderdale, Miami, Boca Raton, Palm Beach, Jupiter, Weston, Florida",Mobile laboratory service - company name clearly indicates mobile lab specialization.
KM Professional Mobile Phlebotomy,,0,,,"Boca Raton, West Palm Beach",Florida,US,,(561) 907-1619,Laboratory,https://www.google.com/maps/search/?api=1&query=KM%20Professional%20Mobile%20Phlebotomy&query_place_id=ChIJUQeU93kjy68R1Mm6_EbXICw,Yes,No,"Boca Raton, West Palm Beach, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
KRL Mobile Lab,5,22,,"Broward County, Miami-Dade County, Palm Beach County",,Florida,US,http://www.krlmobilelab.com/,(888) 553-9994,Laboratory,https://www.google.com/maps/search/?api=1&query=KRL%20Mobile%20Lab&query_place_id=ChIJO4ZE35HECY4Rx96rYyCdZ04,Yes,No,"Broward County, Miami-Dade County, Palm Beach County, Florida",Mobile laboratory service - company name clearly indicates mobile lab specialization.
OneStick USA Concierge Mobile Lab,5,70,,"Broward County, Miami-Dade County, Palm Beach County",,Florida,US,https://onestickusa.wixsite.com/one-stick-usa,(954) 670-3184,Blood testing service,https://www.google.com/maps/search/?api=1&query=OneStick%20USA%20Concierge%20Mobile%20Lab&query_place_id=ChIJN-taNFPuHAwRmjFM85g5LZA,Yes,No,"Broward County, Miami-Dade County, Palm Beach County, Florida",Mobile laboratory service - company name clearly indicates mobile lab specialization.
preferred home phlebotomy - mobile phlebotomy,,0,,"Broward County, Miami-Dade County, Palm Beach County",,Florida,US,https://preferredhomephlebotomy.com/,(561) 739-0915,Medical laboratory,https://www.google.com/maps/search/?api=1&query=preferred%20home%20phlebotomy%20-%20mobile%20phlebotomy&query_place_id=ChIJT525igs4km4RWFlHLS8f-lY,Yes,No,"Broward County, Miami-Dade County, Palm Beach County, Florida",Mobile phlebotomy service - company name clearly indicates home/mobile phlebotomy specialization.
Angel Touch Mobile Phlebotomy Services LLC,,0,,"Broward County, Miami-Dade County, Palm Beach County",,Florida,US,,(716) 708-3788,Laboratory,https://www.google.com/maps/search/?api=1&query=Angel%20Touch%20Mobile%20Phlebotomy%20Services%20LLC&query_place_id=ChIJsci_0h-2mS8RGV-JOzDqlQg,Yes,No,"Broward County, Miami-Dade County, Palm Beach County, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Quick Lab Mobile,5,3,,,Miami,Florida,US,https://quicklabmobile.com/,(855) 729-1756,Blood testing service,https://www.google.com/maps/search/?api=1&query=Quick%20Lab%20Mobile&query_place_id=ChIJSazz5aRqO0YRJlG5yDWtorY,Yes,No,"Miami, Florida",Mobile laboratory service - company name clearly indicates mobile lab specialization.
Helping Hands Mobile Medical Service,5,8,,,Cleveland,Ohio,US,,(216) 785-8549,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Helping%20Hands%20Mobile%20Medical%20Service&query_place_id=ChIJm480pwj7MIgRWF0EnEj8Zpc,Yes,No,"Cleveland, Ohio",Mobile medical service - provides mobile medical services including phlebotomy.
MobileBloodDraw,5,4,,,Sacramento ,California,US,https://www.mobileblooddraw.org/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=18199357006027082474,(916) 205-0235,Home health care service,https://www.google.com/maps/search/?api=1&query=MobileBloodDraw&query_place_id=ChIJF4A7hhO6kCUR5gdk69xakQc,Yes,No,"Sacramento, California",Mobile blood draw service - company name clearly indicates mobile blood draw specialization.
Simply Draw Phlebotomy LLC.,,0,,"Broward County, Miami-Dade County",,Florida,US,https://simplydraw.org/,(305) 741-1310,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Simply%20Draw%20Phlebotomy%20LLC.&query_place_id=ChIJ9QDs5OWbT0ARDijzFphnxTw,Yes,No,"Broward County, Miami-Dade County, Florida",Mobile phlebotomy service - company name clearly indicates phlebotomy specialization.
DELICATELY TOUCHED LLC Mobile Phlebotomy,,0,,,West Palm Beach,Florida,US,,(561) 853-5389,Home health care service,https://www.google.com/maps/search/?api=1&query=DELICATELY%20TOUCHED%20LLC%20Mobile%20Phlebotomy&query_place_id=ChIJY2fwwQl11wARBNONPiOkxjs,Yes,No,"West Palm Beach, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Meraki Exclusive Phlebotomy Mobile Service,,0,,,Miami,Florida,US,,(305) 434-6843,Laboratory,https://www.google.com/maps/search/?api=1&query=Meraki%20Exclusive%20Phlebotomy%20Mobile%20Service&query_place_id=ChIJRWL7bRYu540R5TiOnax_JRg,Yes,No,"Miami, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Bloodugo | Mobile Lab Services,5,6,,Bay Area,,California,US,https://bloodugo.square.site/,(408) 673-7935,Home health care service,https://www.google.com/maps/search/?api=1&query=Bloodugo%20%7C%20Mobile%20Lab%20Services&query_place_id=ChIJpU4B4ZrJj4ARfhw5g6AqDUY,Yes,No,"Bay Area, California",Mobile laboratory service - company name clearly indicates mobile lab specialization.
Mobile Virtuous Phlebotomy,5,5,,"Broward County, Miami-Dade County, Palm Beach County",,Florida,US,,(954) 861-9390,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Virtuous%20Phlebotomy&query_place_id=ChIJr68UmR9f04YRGtwDpNjWXBE,Yes,No,"Broward County, Miami-Dade County, Palm Beach County, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Sanguis health mobile phlebotomy,,0,,,"Fort Lauderdale, Miami",Florida,US,https://sanguishealth.life/,(954) 696-6980,Home health care service,https://www.google.com/maps/search/?api=1&query=Sanguis%20health%20mobile%20phlebotomy&query_place_id=ChIJyYmk1U4ihYMRzojA9hGWPRA,Yes,No,"Fort Lauderdale, Miami, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Delicate Hands Mobile Lab L.L.C~Your lab on Wheels,5,21,,"Broward County, Miami-Dade County",,Florida,US,http://www.delicatehandsmobilelab.com/,(786) 613-9822,Laboratory,https://www.google.com/maps/search/?api=1&query=Delicate%20Hands%20Mobile%20Lab%20L.L.C~Your%20lab%20on%20Wheels&query_place_id=ChIJ1btfFoav2YgRIgySavRDXtw,Yes,No,"Broward County, Miami-Dade County, Florida",Mobile laboratory service - company name clearly indicates mobile lab specialization.
R&J Louis Mobile Phlebotomist,,0,,"Broward County, Miami-Dade County",,Florida,US,,,Laboratory,https://www.google.com/maps/search/?api=1&query=R%26J%20Louis%20Mobile%20Phlebotomist&query_place_id=ChIJ5YHASkApba8R-eQzrp1v2lA,Yes,No,"Broward County, Miami-Dade County, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Mobile Phlebotomy Services of Miami,,0,,"Broward County, Miami-Dade County",,Florida,US,http://mobilephlebotomyservicesfl.com/,(754) 227-9238,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services%20of%20Miami&query_place_id=ChIJiX6N6aUX54gRGFzOPNrqfmM,Yes,No,"Broward County, Miami-Dade County, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
